FrameNumber	ObjectNumber	FishCount	Xlocation	Ylocation
7	42	2	417.2618683	221.37366
				
7	43	2	187.4386161	224.4620536
				
7	44	2	67.60819462	230.3892446
				
8	1	2	82.56449553	26.96551724
				
8	2	2	42.51930759	33.45672437
				
8	3	2	250.0896708	36.9091941
				
8	4	1	202.6624424	40.72465438
				
8	5	2	375.8158614	49.60619872
				
8	6	2	409.483871	45.12903226
				
8	7	2	112.1101152	56.68117798
				
8	8	2	443.9045726	57.11530815
				
8	9	2	234.8176166	69.29015544
				
8	10	2	144.4451146	74.81544029
				
8	11	2	280.9412252	75.18874172
				
8	12	2	17.65814266	75.77792732
				
8	13	2	79.20152091	79.44106464
				
8	14	2	185.4233954	78.97412008
				
8	15	1	327.6260018	78.98040962
				
8	16	2	469.104281	79.36663008
				
8	17	2	364.8773148	87.53626543
				
8	18	1	402.5050742	95.96174863
				
8	19	2	433.1240642	106.1486631
				
8	20	2	225.9188696	109.5606199
				
8	21	2	40.0723192	111.8067332
				
8	22	2	170.2485812	114.723042
				
8	23	2	266.7685665	113.6839378
				
8	24	1	304.5068213	114.5729877
				
8	25	2	117.218134	123.8646518
				
8	26	2	340.7742504	126.2213404
				
8	27	2	461.6996587	124.7588168
				
8	28	2	75.54057428	131.9500624
				
8	29	2	375.2967265	130.7687434
				
8	30	2	413.8603896	143.7581169
				
8	31	2	213.3420578	147.4151625
				
8	32	2	283.6765734	149.0183566
				
8	33	1	158.856974	153.9148936
				
8	34	2	33.1188251	160.3604806
				
8	35	2	470.0306486	159.4575909
				
8	36	2	349.4298161	161.7008712
				
8	37	2	248.8595166	167.494713
				
8	38	2	87.36675462	171.8390501
				
8	39	2	420.3736655	172.6737841
				
8	40	2	299.8687888	177.7189441
				
8	41	2	387.8314987	185.6867062
				
8	42	2	118.9335072	184.4067797
				
8	43	2	201.9897436	184.1815385
				
8	44	2	333.3729626	199.3307766
				
8	45	2	43.01973684	200.5289474
				
8	46	2	453.7799625	198.6975655
				
